year_month,date,product,region,customer_segment,customer_id,revenue,cogs,opex,gross_profit,operating_income,n_customers,active_subscriptions,churned_count,new_subscriptions,subscription_status,revenue_type
2023-01,2023-01-01,Basic,INDIA,Mid-Market,Basic_INDIA_Mid-Market_0,251502.42,89356.12,65206.95,162146.3,96939.35,448,398,33,110,active,subscription
2023-01,2023-01-01,Basic,INDIA,Enterprise,Basic_INDIA_Enterprise_0,335088.37,118479.7,70043.18,216608.67,146565.49,106,78,10,25,churned,subscription
2023-01,2023-01-01,Pro,AMER,Startup,Pro_AMER_Startup_0,149108.47,55336.38,41892.04,93772.09,51880.05,157,135,10,37,active,one_time
2023-01,2023-01-01,Pro,AMER,SMB,Pro_AMER_SMB_0,111884.42,37381.33,23646.48,74503.1,50856.62,160,133,19,23,active,one_time
2023-01,2023-01-01,Pro,AMER,Mid-Market,Pro_AMER_Mid-Market_0,282486.15,92113.91,84640.02,190372.24,105732.23,263,243,36,59,active,subscription
2023-01,2023-01-01,Pro,AMER,Enterprise,Pro_AMER_Enterprise_0,376680.06,146796.37,108750.79,229883.68,121132.9,129,118,17,37,churned,subscription
2023-01,2023-01-01,Pro,EMEA,Startup,Pro_EMEA_Startup_0,311308.98,104982.19,91528.99,206326.79,114797.79,162,113,10,33,active,subscription
2023-01,2023-01-01,Pro,EMEA,SMB,Pro_EMEA_SMB_0,150921.19,56024.65,33764.83,94896.54,61131.71,286,212,24,71,active,subscription
2023-01,2023-01-01,Pro,EMEA,Mid-Market,Pro_EMEA_Mid-Market_0,294143.1,103209.35,77545.91,190933.76,113387.85,31,23,4,5,churned,subscription
2023-01,2023-01-01,Pro,EMEA,Enterprise,Pro_EMEA_Enterprise_0,407665.09,142790.29,105051.37,264874.8,159823.43,457,418,33,91,active,subscription
2023-01,2023-01-01,Pro,APAC,Startup,Pro_APAC_Startup_0,69621.7,27810.74,17196.17,41810.96,24614.79,55,51,4,5,new,subscription
2023-01,2023-01-01,Pro,APAC,SMB,Pro_APAC_SMB_0,484994.67,192233.46,138369.44,292761.21,154391.78,200,155,13,30,active,subscription
2023-01,2023-01-01,Pro,APAC,Mid-Market,Pro_APAC_Mid-Market_0,227611.16,87498.58,66690.45,140112.58,73422.13,183,132,20,54,active,subscription
2023-01,2023-01-01,Pro,APAC,Enterprise,Pro_APAC_Enterprise_0,444817.88,166396.08,119968.08,278421.8,158453.72,308,270,32,49,active,subscription
2023-01,2023-01-01,Pro,LATAM,Startup,Pro_LATAM_Startup_0,325181.17,100207.64,65204.84,224973.53,159768.69,45,40,5,10,churned,one_time
2023-01,2023-01-01,Pro,LATAM,SMB,Pro_LATAM_SMB_0,202097.82,68219.8,42318.92,133878.02,91559.11,224,194,18,29,new,one_time
2023-01,2023-01-01,Pro,LATAM,Mid-Market,Pro_LATAM_Mid-Market_0,437182.08,142095.16,89134.2,295086.91,205952.71,280,221,17,57,churned,subscription
2023-01,2023-01-01,Pro,LATAM,Enterprise,Pro_LATAM_Enterprise_0,330300.71,101909.25,67767.19,228391.47,160624.27,381,305,45,48,active,one_time
2023-01,2023-01-01,Pro,INDIA,Startup,Pro_INDIA_Startup_0,371567.8,112996.28,89132.46,258571.52,169439.06,284,229,16,29,new,one_time
2023-01,2023-01-01,Pro,INDIA,SMB,Pro_INDIA_SMB_0,363188.39,123809.21,78931.53,239379.18,160447.65,10,8,0,1,active,one_time
2023-01,2023-01-01,Pro,INDIA,Mid-Market,Pro_INDIA_Mid-Market_0,337221.77,118590.65,89603.58,218631.11,129027.54,78,66,7,11,active,subscription
2023-01,2023-01-01,Pro,INDIA,Enterprise,Pro_INDIA_Enterprise_0,56477.07,17598.67,11555.22,38878.4,27323.18,103,94,12,20,active,subscription
2023-01,2023-01-01,Enterprise,AMER,Startup,Enterprise_AMER_Startup_0,263062.3,83474.98,64025.46,179587.32,115561.86,32,22,4,8,active,subscription
2023-01,2023-01-01,Enterprise,AMER,SMB,Enterprise_AMER_SMB_0,470046.34,164565.1,119362.51,305481.24,186118.73,13,11,1,3,churned,subscription
2023-01,2023-01-01,Enterprise,AMER,Mid-Market,Enterprise_AMER_Mid-Market_0,410427.18,150920.98,105617.98,259506.2,153888.22,42,34,4,12,active,one_time
2023-01,2023-01-01,Enterprise,AMER,Enterprise,Enterprise_AMER_Enterprise_0,457407.79,146177.98,94654.2,311229.81,216575.62,104,82,5,23,active,subscription
2023-01,2023-01-01,Enterprise,EMEA,Startup,Enterprise_EMEA_Startup_0,223428.48,82257.73,52296.22,141170.75,88874.53,124,95,7,29,active,one_time
2023-01,2023-01-01,Enterprise,EMEA,SMB,Enterprise_EMEA_SMB_0,380781.97,144829.7,86895.76,235952.27,149056.51,403,324,43,86,active,subscription
2023-01,2023-01-01,Enterprise,EMEA,Mid-Market,Enterprise_EMEA_Mid-Market_0,162507.4,58186.49,46592.77,104320.91,57728.14,233,213,21,58,churned,subscription
2023-01,2023-01-01,Enterprise,EMEA,Enterprise,Enterprise_EMEA_Enterprise_0,456148.81,159891.67,128928.52,296257.14,167328.62,351,271,21,38,new,one_time
2023-01,2023-01-01,Enterprise,APAC,Startup,Enterprise_APAC_Startup_0,209707.34,82977.02,56133.83,126730.32,70596.49,61,51,6,11,active,subscription
2023-01,2023-01-01,Enterprise,APAC,SMB,Enterprise_APAC_SMB_0,352633.31,132321.22,98440.37,220312.08,121871.71,66,48,9,19,new,subscription
2023-01,2023-01-01,Enterprise,APAC,Mid-Market,Enterprise_APAC_Mid-Market_0,381666.0,135335.55,103272.39,246330.45,143058.06,248,182,31,55,active,subscription
2023-01,2023-01-01,Enterprise,APAC,Enterprise,Enterprise_APAC_Enterprise_0,365436.11,112289.86,103120.96,253146.25,150025.3,131,96,13,19,active,one_time
2023-01,2023-01-01,Enterprise,LATAM,Startup,Enterprise_LATAM_Startup_0,446161.99,144408.59,129730.24,301753.4,172023.16,310,275,27,36,churned,subscription
2023-01,2023-01-01,Enterprise,LATAM,SMB,Enterprise_LATAM_SMB_0,240899.9,94104.04,50858.73,146795.86,95937.14,460,351,41,98,active,subscription
2023-01,2023-01-01,Enterprise,LATAM,Mid-Market,Enterprise_LATAM_Mid-Market_0,420255.66,157352.61,112672.2,262903.04,150230.85,357,335,31,56,churned,subscription
2023-01,2023-01-01,Enterprise,LATAM,Enterprise,Enterprise_LATAM_Enterprise_0,483450.14,145622.65,143578.83,337827.49,194248.66,326,254,17,92,new,subscription
2023-01,2023-01-01,Enterprise,INDIA,Startup,Enterprise_INDIA_Startup_0,362935.01,111618.29,78619.54,251316.72,172697.18,314,274,29,70,active,one_time
2023-01,2023-01-01,Enterprise,INDIA,SMB,Enterprise_INDIA_SMB_0,70450.87,23114.67,20785.91,47336.2,26550.29,465,371,28,77,active,subscription
2023-01,2023-01-01,Enterprise,INDIA,Mid-Market,Enterprise_INDIA_Mid-Market_0,224720.77,72571.21,50920.33,152149.56,101229.23,366,345,54,87,active,subscription
2023-01,2023-01-01,Enterprise,INDIA,Enterprise,Enterprise_INDIA_Enterprise_0,416207.76,153361.37,90009.79,262846.39,172836.59,55,39,7,10,active,one_time
2023-01,2023-01-01,API,AMER,Startup,API_AMER_Startup_0,87236.79,33818.75,22259.23,53418.04,31158.81,14,9,1,3,new,subscription
2023-01,2023-01-01,API,AMER,SMB,API_AMER_SMB_0,317358.82,107295.55,94252.85,210063.27,115810.41,292,245,16,31,active,subscription
2023-01,2023-01-01,API,AMER,Mid-Market,API_AMER_Mid-Market_0,83911.58,30977.76,21266.1,52933.82,31667.72,142,134,14,36,new,one_time
2023-01,2023-01-01,API,AMER,Enterprise,API_AMER_Enterprise_0,161306.65,55659.57,34344.76,105647.08,71302.32,60,46,4,16,churned,subscription
2023-01,2023-01-01,API,EMEA,Startup,API_EMEA_Startup_0,170902.62,51649.93,42694.3,119252.69,76558.39,447,399,45,120,active,subscription
2023-01,2023-01-01,API,EMEA,SMB,API_EMEA_SMB_0,444494.12,151282.81,94855.72,293211.31,198355.59,312,251,40,71,churned,one_time
2023-01,2023-01-01,API,EMEA,Mid-Market,API_EMEA_Mid-Market_0,327768.67,130467.1,85484.95,197301.57,111816.62,347,276,32,97,active,subscription
2023-01,2023-01-01,API,EMEA,Enterprise,API_EMEA_Enterprise_0,402643.86,136759.71,105576.71,265884.15,160307.44,60,52,7,11,churned,subscription
2023-01,2023-01-01,API,APAC,Startup,API_APAC_Startup_0,79806.19,24307.86,20915.65,55498.33,34582.68,459,359,52,67,active,subscription
2023-01,2023-01-01,API,APAC,SMB,API_APAC_SMB_0,107620.63,33920.97,23018.19,73699.65,50681.46,17,12,2,3,churned,subscription
2023-01,2023-01-01,API,APAC,Mid-Market,API_APAC_Mid-Market_0,487899.66,175738.3,108501.52,312161.35,203659.83,286,212,22,38,active,subscription
2023-01,2023-01-01,API,APAC,Enterprise,API_APAC_Enterprise_0,257350.45,82515.14,60844.59,174835.3,113990.71,87,68,7,10,active,subscription
2023-01,2023-01-01,API,LATAM,Startup,API_LATAM_Startup_0,280245.66,88472.93,66622.41,191772.73,125150.32,346,266,45,86,active,subscription
2023-01,2023-01-01,API,LATAM,SMB,API_LATAM_SMB_0,216712.45,75513.95,56740.84,141198.5,84457.66,480,399,58,53,active,subscription
2023-01,2023-01-01,API,LATAM,Mid-Market,API_LATAM_Mid-Market_0,359224.48,138101.72,98772.95,221122.76,122349.81,283,229,29,42,active,subscription
2023-01,2023-01-01,API,LATAM,Enterprise,API_LATAM_Enterprise_0,59032.04,19610.91,13054.63,39421.13,26366.5,483,402,35,81,active,subscription
2023-01,2023-01-01,API,INDIA,Startup,API_INDIA_Startup_0,341970.28,118991.37,88371.94,222978.91,134606.97,479,405,59,89,active,subscription
2023-01,2023-01-01,API,INDIA,SMB,API_INDIA_SMB_0,213387.03,77799.15,54857.08,135587.89,80730.81,449,370,37,128,active,subscription
2023-01,2023-01-01,API,INDIA,Mid-Market,API_INDIA_Mid-Market_0,214410.57,74782.33,61124.54,139628.24,78503.7,455,350,30,127,active,subscription
2023-01,2023-01-01,API,INDIA,Enterprise,API_INDIA_Enterprise_0,234678.57,93457.89,49565.03,141220.68,91655.65,331,279,46,33,new,subscription
2023-01,2023-01-01,Analytics,AMER,Startup,Analytics_AMER_Startup_0,375303.24,143398.17,102024.58,231905.07,129880.49,212,178,16,53,active,subscription
2023-01,2023-01-01,Analytics,AMER,SMB,Analytics_AMER_SMB_0,241446.4,84689.99,54142.18,156756.41,102614.23,56,49,7,6,active,one_time
2023-01,2023-01-01,Analytics,AMER,Mid-Market,Analytics_AMER_Mid-Market_0,194288.99,69825.19,46031.54,124463.8,78432.26,19,15,1,2,active,subscription
2023-01,2023-01-01,Analytics,AMER,Enterprise,Analytics_AMER_Enterprise_0,112471.15,33771.83,23806.72,78699.31,54892.59,408,333,37,69,new,one_time
2023-01,2023-01-01,Analytics,EMEA,Startup,Analytics_EMEA_Startup_0,484262.11,151297.88,132245.56,332964.23,200718.67,146,109,12,41,active,subscription
2023-01,2023-01-01,Analytics,EMEA,SMB,Analytics_EMEA_SMB_0,401681.52,153761.31,110482.58,247920.21,137437.63,325,240,21,85,active,subscription
2023-01,2023-01-01,Analytics,EMEA,Mid-Market,Analytics_EMEA_Mid-Market_0,211473.72,81992.6,50593.93,129481.12,78887.19,305,247,37,85,active,subscription
2023-01,2023-01-01,Analytics,EMEA,Enterprise,Analytics_EMEA_Enterprise_0,247435.1,88519.57,58279.94,158915.54,100635.6,459,383,64,103,active,one_time
2023-01,2023-01-01,Analytics,APAC,Startup,Analytics_APAC_Startup_0,332468.62,110875.15,71124.08,221593.48,150469.39,24,22,2,5,active,one_time
2023-01,2023-01-01,Analytics,APAC,SMB,Analytics_APAC_SMB_0,388581.4,144046.37,107970.14,244535.04,136564.9,298,211,31,75,churned,subscription
2023-01,2023-01-01,Analytics,APAC,Mid-Market,Analytics_APAC_Mid-Market_0,419565.79,130511.47,119427.4,289054.32,169626.92,225,191,22,46,active,subscription
2023-01,2023-01-01,Analytics,APAC,Enterprise,Analytics_APAC_Enterprise_0,397346.89,119688.95,103248.31,277657.94,174409.63,429,358,32,72,active,one_time
2023-01,2023-01-01,Analytics,LATAM,Startup,Analytics_LATAM_Startup_0,312526.31,106285.55,76944.16,206240.75,129296.6,311,265,43,39,active,subscription
2023-01,2023-01-01,Analytics,LATAM,SMB,Analytics_LATAM_SMB_0,376743.01,135362.37,79199.39,241380.65,162181.25,333,298,17,76,churned,subscription
2023-01,2023-01-01,Analytics,LATAM,Mid-Market,Analytics_LATAM_Mid-Market_0,81014.69,24930.82,17047.49,56083.87,39036.38,306,285,29,37,new,one_time
2023-01,2023-01-01,Analytics,LATAM,Enterprise,Analytics_LATAM_Enterprise_0,106098.21,41599.43,30449.09,64498.78,34049.69,64,48,7,11,active,subscription
2023-01,2023-01-01,Analytics,INDIA,Startup,Analytics_INDIA_Startup_0,404505.45,145772.5,85523.26,258732.95,173209.69,253,211,35,42,active,subscription
2023-01,2023-01-01,Analytics,INDIA,SMB,Analytics_INDIA_SMB_0,253498.07,81743.11,62168.87,171754.96,109586.09,188,143,20,25,active,subscription
2023-01,2023-01-01,Analytics,INDIA,Mid-Market,Analytics_INDIA_Mid-Market_0,401223.07,131504.36,89075.42,269718.71,180643.29,379,328,25,110,active,subscription
2023-01,2023-01-01,Analytics,INDIA,Enterprise,Analytics_INDIA_Enterprise_0,88407.35,35335.31,22121.24,53072.04,30950.8,266,206,23,49,churned,subscription
2023-01,2023-01-01,Support,AMER,Startup,Support_AMER_Startup_0,260704.32,94504.69,61988.34,166199.63,104211.29,153,128,8,39,active,subscription
2023-01,2023-01-01,Support,AMER,SMB,Support_AMER_SMB_0,248343.24,84455.65,63566.94,163887.59,100320.65,328,238,27,37,churned,subscription
2023-01,2023-01-01,Support,AMER,Mid-Market,Support_AMER_Mid-Market_0,453843.68,160051.54,127110.26,293792.15,166681.89,64,47,7,14,active,subscription
2023-01,2023-01-01,Support,AMER,Enterprise,Support_AMER_Enterprise_0,153983.66,56541.15,31100.24,97442.51,66342.27,63,49,6,17,active,subscription
2023-01,2023-01-01,Support,EMEA,Startup,Support_EMEA_Startup_0,412391.74,164491.88,107353.71,247899.86,140546.15,311,282,27,72,active,subscription
2023-01,2023-01-01,Support,EMEA,SMB,Support_EMEA_SMB_0,453351.12,136594.78,94546.76,316756.34,222209.58,160,145,9,44,active,subscription
2023-01,2023-01-01,Support,EMEA,Mid-Market,Support_EMEA_Mid-Market_0,459780.8,166659.56,107398.63,293121.24,185722.61,395,312,21,105,active,subscription
2023-01,2023-01-01,Support,EMEA,Enterprise,Support_EMEA_Enterprise_0,213241.05,82333.82,47329.08,130907.23,83578.16,351,314,21,74,new,subscription
2023-01,2023-01-01,Support,APAC,Startup,Support_APAC_Startup_0,131948.21,45981.03,33151.43,85967.18,52815.76,18,15,2,2,active,one_time
2023-01,2023-01-01,Support,APAC,SMB,Support_APAC_SMB_0,492980.98,173809.82,107059.66,319171.16,212111.5,224,195,29,46,churned,subscription
2023-01,2023-01-01,Support,APAC,Mid-Market,Support_APAC_Mid-Market_0,80228.93,27319.94,20036.89,52908.99,32872.1,85,63,4,10,new,one_time
2023-01,2023-01-01,Support,APAC,Enterprise,Support_APAC_Enterprise_0,318835.9,114797.4,84970.94,204038.49,119067.56,464,391,62,83,churned,subscription
2023-01,2023-01-01,Support,LATAM,Startup,Support_LATAM_Startup_0,209242.12,82831.15,45706.24,126410.97,80704.73,190,161,14,33,active,subscription
2023-01,2023-01-01,Support,LATAM,SMB,Support_LATAM_SMB_0,373570.66,123170.79,95873.35,250399.86,154526.52,107,85,15,13,active,subscription
2023-01,2023-01-01,Support,LATAM,Mid-Market,Support_LATAM_Mid-Market_0,292929.25,92624.64,83236.72,200304.61,117067.9,346,285,37,57,churned,subscription
2023-01,2023-01-01,Support,LATAM,Enterprise,Support_LATAM_Enterprise_0,83812.0,31246.7,20915.21,52565.31,31650.09,436,370,41,50,active,subscription
2023-01,2023-01-01,Support,INDIA,Startup,Support_INDIA_Startup_0,485464.72,145894.47,102097.78,339570.25,237472.47,110,79,15,14,new,subscription
2023-01,2023-01-01,Support,INDIA,SMB,Support_INDIA_SMB_0,133309.82,47217.02,38299.19,86092.8,47793.61,273,234,34,66,active,one_time
2023-01,2023-01-01,Support,INDIA,Mid-Market,Support_INDIA_Mid-Market_0,456513.72,166475.26,122947.14,290038.46,167091.32,498,466,26,120,new,subscription
2023-01,2023-01-01,Support,INDIA,Enterprise,Support_INDIA_Enterprise_0,305575.35,119647.67,62152.38,185927.68,123775.31,126,111,8,15,active,subscription
2023-01,2023-01-01,Training,AMER,Startup,Training_AMER_Startup_0,385279.05,117698.23,94591.54,267580.82,172989.28,452,410,24,99,active,subscription
2023-01,2023-01-01,Training,AMER,SMB,Training_AMER_SMB_0,84628.94,31281.3,19802.11,53347.64,33545.53,192,153,20,50,active,subscription
2023-01,2023-01-01,Training,AMER,Mid-Market,Training_AMER_Mid-Market_0,382035.1,134482.78,92712.93,247552.32,154839.39,117,88,6,32,active,one_time
2023-01,2023-01-01,Training,AMER,Enterprise,Training_AMER_Enterprise_0,288021.71,113453.7,80611.03,174568.01,93956.98,48,33,2,5,active,subscription
2023-01,2023-01-01,Training,EMEA,Startup,Training_EMEA_Startup_0,311340.74,101860.95,74668.46,209479.8,134811.34,423,340,38,104,active,subscription
2023-01,2023-01-01,Training,EMEA,SMB,Training_EMEA_SMB_0,209579.97,68893.95,48126.02,140686.03,92560.01,455,385,35,128,active,subscription
2023-01,2023-01-01,Training,EMEA,Mid-Market,Training_EMEA_Mid-Market_0,226233.56,70685.26,66884.05,155548.3,88664.25,302,270,17,55,churned,one_time
2023-01,2023-01-01,Training,EMEA,Enterprise,Training_EMEA_Enterprise_0,260330.68,94068.18,56414.54,166262.5,109847.95,61,43,5,16,active,one_time
2023-01,2023-01-01,Training,APAC,Startup,Training_APAC_Startup_0,104152.44,31734.68,24830.89,72417.76,47586.88,434,324,55,73,active,one_time
2023-01,2023-01-01,Training,APAC,SMB,Training_APAC_SMB_0,447703.65,175846.9,134083.12,271856.75,137773.63,70,53,7,13,new,one_time
2023-01,2023-01-01,Training,APAC,Mid-Market,Training_APAC_Mid-Market_0,258521.34,93660.66,71038.34,164860.68,93822.33,98,83,10,11,churned,subscription
2023-01,2023-01-01,Training,APAC,Enterprise,Training_APAC_Enterprise_0,108281.71,42108.03,32004.3,66173.68,34169.38,341,241,28,97,active,subscription
2023-01,2023-01-01,Training,LATAM,Startup,Training_LATAM_Startup_0,163692.09,49190.82,44126.71,114501.27,70374.56,185,152,10,26,active,subscription
2023-01,2023-01-01,Training,LATAM,SMB,Training_LATAM_SMB_0,433043.11,151354.91,107420.09,281688.2,174268.11,358,331,38,83,active,one_time
2023-01,2023-01-01,Training,LATAM,Mid-Market,Training_LATAM_Mid-Market_0,380259.46,133899.26,109064.53,246360.21,137295.68,101,92,13,24,churned,subscription
2023-01,2023-01-01,Training,LATAM,Enterprise,Training_LATAM_Enterprise_0,356063.35,128845.49,98014.15,227217.86,129203.71,16,14,2,3,churned,subscription
2023-01,2023-01-01,Training,INDIA,Startup,Training_INDIA_Startup_0,418976.11,135271.68,121867.64,283704.43,161836.79,91,82,12,18,active,subscription
2023-01,2023-01-01,Training,INDIA,SMB,Training_INDIA_SMB_0,327617.11,130430.47,86222.72,197186.64,110963.93,232,184,11,61,active,subscription
2023-01,2023-01-01,Training,INDIA,Mid-Market,Training_INDIA_Mid-Market_0,58292.47,20007.38,16555.77,38285.09,21729.32,421,361,60,50,new,subscription
2023-01,2023-01-01,Training,INDIA,Enterprise,Training_INDIA_Enterprise_0,80526.68,26581.56,21808.01,53945.11,32137.1,415,364,40,46,active,one_time
2023-01,2023-01-01,Premium,AMER,Startup,Premium_AMER_Startup_0,495566.77,182172.93,121213.57,313393.83,192180.27,260,190,32,27,active,subscription
2023-01,2023-01-01,Premium,AMER,SMB,Premium_AMER_SMB_0,269889.44,101759.31,72419.31,168130.12,95710.82,35,25,3,10,active,one_time
2023-01,2023-01-01,Premium,AMER,Mid-Market,Premium_AMER_Mid-Market_0,287160.84,109865.46,66000.31,177295.38,111295.07,297,214,35,68,active,one_time
2023-01,2023-01-01,Premium,AMER,Enterprise,Premium_AMER_Enterprise_0,117976.05,40493.33,34727.62,77482.72,42755.1,473,432,69,119,active,subscription
2023-01,2023-01-01,Premium,EMEA,Startup,Premium_EMEA_Startup_0,194334.23,72378.28,53361.01,121955.95,68594.94,172,121,19,29,churned,subscription
2023-01,2023-01-01,Premium,EMEA,SMB,Premium_EMEA_SMB_0,485687.04,154716.85,139325.31,330970.2,191644.89,318,234,30,65,active,subscription
2023-01,2023-01-01,Premium,EMEA,Mid-Market,Premium_EMEA_Mid-Market_0,182375.59,71342.34,54120.16,111033.25,56913.09,413,371,40,50,active,subscription
2023-01,2023-01-01,Premium,EMEA,Enterprise,Premium_EMEA_Enterprise_0,243637.65,77976.83,60704.62,165660.82,104956.19,328,283,27,71,active,one_time
2023-01,2023-01-01,Premium,APAC,Startup,Premium_APAC_Startup_0,117311.29,40643.65,31444.78,76667.64,45222.85,347,284,38,54,active,one_time
2023-01,2023-01-01,Premium,APAC,SMB,Premium_APAC_SMB_0,400932.95,121868.33,99451.7,279064.61,179612.92,97,71,5,20,active,subscription
2023-01,2023-01-01,Premium,APAC,Mid-Market,Premium_APAC_Mid-Market_0,144657.31,48402.58,40154.04,96254.74,56100.69,251,196,25,29,active,subscription
2023-01,2023-01-01,Premium,APAC,Enterprise,Premium_APAC_Enterprise_0,85360.32,28996.25,18204.93,56364.08,38159.15,368,276,43,97,active,subscription
2023-01,2023-01-01,Premium,LATAM,Startup,Premium_LATAM_Startup_0,478197.49,149399.41,138496.58,328798.07,190301.5,18,16,0,3,active,one_time
2023-01,2023-01-01,Premium,LATAM,SMB,Premium_LATAM_SMB_0,371339.12,141173.04,86872.94,230166.08,143293.15,260,213,30,54,active,subscription
2023-01,2023-01-01,Premium,LATAM,Mid-Market,Premium_LATAM_Mid-Market_0,266406.72,81007.73,57650.4,185398.99,127748.59,23,16,1,3,active,one_time
2023-01,2023-01-01,Premium,LATAM,Enterprise,Premium_LATAM_Enterprise_0,148646.29,59099.76,34737.09,89546.53,54809.44,401,368,37,43,active,subscription
2023-01,2023-01-01,Premium,INDIA,Startup,Premium_INDIA_Startup_0,343968.36,114621.08,87453.22,229347.28,141894.06,68,58,4,16,active,subscription
2023-01,2023-01-01,Premium,INDIA,SMB,Premium_INDIA_SMB_0,165957.3,57464.76,47601.08,108492.54,60891.47,168,135,22,37,active,subscription
2023-01,2023-01-01,Premium,INDIA,Mid-Market,Premium_INDIA_Mid-Market_0,277180.2,98213.27,69682.99,178966.92,109283.94,114,92,13,22,churned,one_time
2023-01,2023-01-01,Premium,INDIA,Enterprise,Premium_INDIA_Enterprise_0,239774.42,78569.95,62157.93,161204.47,99046.54,255,201,22,49,churned,subscription
2023-01,2023-01-01,Custom,AMER,Startup,Custom_AMER_Startup_0,399200.09,135940.01,103866.09,263260.08,159393.99,307,233,45,41,churned,subscription
2023-01,2023-01-01,Custom,AMER,SMB,Custom_AMER_SMB_0,161253.98,62417.38,39431.52,98836.6,59405.08,240,189,26,31,active,one_time
2023-01,2023-01-01,Custom,AMER,Mid-Market,Custom_AMER_Mid-Market_0,166160.04,60760.35,38635.37,105399.69,66764.32,433,367,38,63,active,one_time
2023-01,2023-01-01,Custom,AMER,Enterprise,Custom_AMER_Enterprise_0,248910.97,82909.49,60952.76,166001.48,105048.72,341,309,31,51,active,subscription
2023-01,2023-01-01,Custom,EMEA,Startup,Custom_EMEA_Startup_0,125168.86,39648.73,25492.78,85520.13,60027.35,430,339,44,110,active,subscription
2023-01,2023-01-01,Custom,EMEA,SMB,Custom_EMEA_SMB_0,438897.28,156165.81,111475.78,282731.47,171255.7,413,316,23,85,new,subscription
2023-01,2023-01-01,Custom,EMEA,Mid-Market,Custom_EMEA_Mid-Market_0,104949.46,36230.64,30790.86,68718.82,37927.96,334,242,36,79,active,subscription
2023-01,2023-01-01,Custom,EMEA,Enterprise,Custom_EMEA_Enterprise_0,358685.48,108229.03,83327.32,250456.45,167129.13,294,269,28,59,active,subscription
2023-01,2023-01-01,Custom,APAC,Startup,Custom_APAC_Startup_0,112843.06,34191.15,26043.39,78651.91,52608.53,345,322,42,45,active,subscription
2023-01,2023-01-01,Custom,APAC,SMB,Custom_APAC_SMB_0,120273.73,38903.28,35641.28,81370.45,45729.18,184,160,24,53,active,subscription
2023-01,2023-01-01,Custom,APAC,Mid-Market,Custom_APAC_Mid-Market_0,328031.26,126912.18,84324.03,201119.08,116795.05,85,61,11,24,active,one_time
